,sq_mt_built,n_rooms,n_bathrooms,buy_price,neighborhood_price_m2,estimado_metros_por_preciom2
107,70.0,2,2.0,210000,1827.79,127945.3
108,99.0,2,2.0,145000,1617.18,160100.82
109,123.0,4,2.0,275000,1827.79,224818.17
110,64.0,3,1.0,104000,1796.68,114987.52
111,107.0,3,2.0,228629,2197.8,235164.6
112,76.0,2,2.0,169021,2197.8,167032.80000000002
113,109.0,3,2.0,223022,2197.8,239560.2
114,108.0,3,2.0,220072,2197.8,237362.4
115,103.0,3,2.0,235718,2197.8,226373.4
116,103.0,3,2.0,245000,2197.8,226373.4
117,143.0,3,2.0,260000,2197.8,314285.4
118,99.0,3,2.0,235000,2197.8,217582.2
119,100.0,3,2.0,235000,2197.8,219780.00000000003
120,176.0,2,2.0,265000,2197.8,386812.8000000001
121,87.0,2,2.0,190000,2197.8,191208.6
122,106.0,3,2.0,256115,2197.8,232966.8
123,113.0,3,2.0,261989,2197.8,248351.4
124,115.0,3,2.0,273353,2197.8,252747.00000000003
125,129.0,3,2.0,297621,2197.8,283516.2
126,115.0,3,2.0,279778,2197.8,252747.00000000003
127,110.0,2,2.0,135000,1617.18,177889.80000000002
128,90.0,3,2.0,195000,1796.68,161701.2
129,60.0,2,1.0,126900,1827.79,109667.4
130,54.0,2,1.0,136400,1796.68,97020.72
131,80.0,3,1.0,145000,1617.18,129374.4
132,73.0,2,1.0,127500,1617.18,118054.14
133,122.0,3,2.0,179000,1617.18,197295.96
134,98.0,3,2.0,266122,2197.8,215384.4
135,97.0,3,2.0,261989,2197.8,213186.6
136,111.0,3,2.0,297621,2197.8,243955.8
137,99.0,3,2.0,251569,2197.8,217582.2
138,77.0,3,1.0,113500,1827.79,140739.83
139,85.0,3,1.0,138000,1617.18,137460.30000000002
140,90.0,3,2.0,225000,2197.8,197802.00000000003
141,133.0,2,1.0,264000,1827.79,243096.07
142,60.0,3,1.0,98260,1827.79,109667.4
143,133.0,3,3.0,275000,2197.8,292307.4
144,85.0,2,1.0,124000,1617.18,137460.30000000002
145,59.0,2,2.0,164513,1796.68,106004.12
146,59.0,2,2.0,164416,1796.68,106004.12
147,58.0,2,2.0,165435,1796.68,104207.44
148,79.0,3,2.0,202629,1796.68,141937.72
149,60.0,2,2.0,164242,1796.68,107800.8
150,121.0,3,2.0,260000,1827.79,221162.59
151,126.0,3,2.0,294900,1617.18,203764.68
152,134.0,4,2.0,319900,1617.18,216702.12
153,111.0,3,2.0,259900,1617.18,179506.98
154,122.0,3,2.0,285900,1617.18,197295.96
155,125.0,3,2.0,289900,1617.18,202147.5
156,102.0,2,2.0,249900,1617.18,164952.36000000002
157,104.0,3,2.0,273352,2197.8,228571.2
158,66.0,3,1.0,104900,1308.89,86386.74
159,95.0,2,1.0,155000,1617.18,153632.1
160,74.0,3,1.0,100000,1308.89,96857.86
161,97.0,2,1.0,210000,2197.8,213186.6
162,90.0,2,2.0,240000,1617.18,145546.2
163,130.0,4,2.0,257000,1617.18,210233.4
164,49.0,2,1.0,84000,1617.18,79241.82
165,151.0,3,2.0,314000,1827.79,275996.29
166,69.0,3,1.0,107000,1308.89,90313.41
167,170.0,3,2.0,325000,2197.8,373626.00000000006
168,48.0,2,1.0,89000,1827.79,87733.92
169,98.0,3,2.0,284900,1827.79,179123.41999999998
170,50.0,1,1.0,135000,1617.18,80859.0
171,136.0,3,2.0,230000,1617.18,219936.48
172,80.0,3,1.0,163000,1796.68,143734.4
173,95.0,3,1.0,185000,1617.18,153632.1
174,56.0,3,1.0,80000,1796.68,100614.08
175,43.0,1,1.0,84000,1827.79,78594.97
176,72.0,3,1.0,119900,1617.18,116436.96
177,100.0,4,2.0,154900,1796.68,179668.0
178,70.0,3,1.0,119900,1796.68,125767.6
179,60.0,2,1.0,79900,1308.89,78533.40000000001
180,91.0,3,2.0,129900,1796.68,163497.88
181,74.0,3,1.0,99900,1617.18,119671.32
182,110.0,3,2.0,275000,2197.8,241758.00000000003
183,83.0,3,1.0,91500,1617.18,134225.94
184,25.0,0,1.0,129000,1827.79,45694.75
185,65.0,2,1.0,86860,1617.18,105116.7
186,58.0,3,1.0,105000,2197.8,127472.4
187,115.0,3,2.0,216000,2197.8,252747.00000000003
188,82.0,3,1.0,120000,1617.18,132608.76
189,83.0,3,1.0,135000,1617.18,134225.94
190,90.0,2,1.0,212000,2197.8,197802.00000000003
191,95.0,2,2.0,184000,1308.89,124344.55
192,89.0,3,1.0,160000,1617.18,143929.02000000002
193,178.0,4,2.0,299990,1827.79,325346.62
194,59.0,2,1.0,117000,1827.79,107839.61
195,100.0,4,1.0,165000,1796.68,179668.0
196,68.0,3,1.0,95000,1617.18,109968.24
197,50.0,2,1.0,106000,1617.18,80859.0
198,114.0,4,2.0,229000,1617.18,184358.52
199,81.0,3,2.0,155000,1617.18,130991.58
200,91.0,2,2.0,228208,2197.8,199999.8
201,95.0,3,1.0,100000,2197.8,208791.00000000003
202,80.0,3,1.0,140000,1617.18,129374.4
203,60.0,2,1.0,105000,1617.18,97030.8
204,80.0,3,1.0,165000,1796.68,143734.4
205,60.0,2,1.0,73000,1308.89,78533.40000000001
206,50.0,1,1.0,159000,1617.18,80859.0
207,136.0,3,1.0,135990,1617.18,219936.48
208,96.0,2,2.0,210000,1796.68,172481.28
209,71.0,2,2.0,198000,1827.79,129773.09
210,74.0,2,1.0,139900,1827.79,135256.46
211,65.0,2,1.0,110000,1308.89,85077.85
212,93.0,3,1.0,160000,1796.68,167091.24000000002
213,75.0,3,1.0,103000,1617.18,121288.5
214,63.0,3,1.0,100000,1827.79,115150.77
215,115.0,3,1.0,154900,1617.18,185975.7
216,63.0,2,1.0,82260,1308.89,82460.07
217,72.0,3,1.0,139400,1796.68,129360.96
218,100.0,2,2.0,154900,1617.18,161718.0
219,90.0,3,2.0,155000,1617.18,145546.2
220,66.0,3,1.0,88000,1308.89,86386.74
221,102.0,3,2.0,225000,1796.68,183261.36
222,105.0,2,1.0,189000,1827.79,191917.95
223,95.0,4,1.0,138000,1827.79,173640.05
224,120.0,3,1.0,195000,1796.68,215601.6
225,90.0,3,2.0,222000,2197.8,197802.00000000003
226,64.0,3,1.0,80500,1827.79,116978.56
227,80.0,3,1.0,182000,1796.68,143734.4
228,120.0,3,2.0,295000,1617.18,194061.6
229,82.0,2,2.0,270000,1796.68,147327.76
230,81.0,3,1.0,116100,2197.8,178021.80000000002
231,103.0,3,2.0,250000,1827.79,188262.37
232,63.0,3,1.0,79900,1796.68,113190.84
233,70.0,3,1.0,99000,1308.89,91622.3
234,60.0,3,1.0,74550,1308.89,78533.40000000001
235,45.0,2,1.0,105000,1827.79,82250.55
236,95.0,3,1.0,130000,1827.79,173640.05
237,70.0,3,1.0,120000,1827.79,127945.3
238,71.0,3,1.0,149000,1827.79,129773.09
239,70.0,3,1.0,135000,1827.79,127945.3
240,98.0,4,2.0,230000,1827.79,179123.41999999998
241,55.0,3,1.0,91000,1796.68,98817.4
242,115.0,4,1.0,184900,1827.79,210195.85
243,78.0,3,1.0,127000,1617.18,126140.04
244,68.0,3,1.0,83900,1308.89,89004.52
245,120.0,3,1.0,180000,1617.18,194061.6
246,64.0,3,1.0,76000,1308.89,83768.96
247,92.0,4,1.0,163000,1796.68,165294.56
248,154.0,3,2.0,280000,2197.8,338461.2
249,105.0,3,2.0,180000,1827.79,191917.95
250,70.0,2,1.0,128000,1617.18,113202.6
251,93.0,3,1.0,166200,1796.68,167091.24000000002
252,53.0,3,1.0,114300,1827.79,96872.87
253,86.0,3,1.0,129000,1617.18,139077.48
254,75.0,3,2.0,132000,1796.68,134751.0
255,85.0,3,1.0,135000,1617.18,137460.30000000002
256,65.0,2,1.0,99000,1617.18,105116.7
257,68.0,3,1.0,88000,1308.89,89004.52
258,75.0,3,1.0,110000,1796.68,134751.0
259,83.0,2,1.0,146000,1617.18,134225.94
260,95.0,3,1.0,112000,1617.18,153632.1
261,30.0,1,1.0,59000,1308.89,39266.7
262,53.0,1,1.0,146000,2197.8,116483.4
263,153.0,4,2.0,178000,1617.18,247428.54
264,66.0,2,1.0,96000,1308.89,86386.74
265,63.0,3,1.0,82000,1308.89,82460.07
266,59.0,2,1.0,126900,1827.79,107839.61
267,95.0,3,1.0,199000,1617.18,153632.1
268,65.0,2,1.0,232000,1617.18,105116.7
269,69.0,2,1.0,240000,1617.18,111585.42
270,115.0,4,2.0,330000,1827.79,210195.85
271,60.0,3,1.0,120000,1617.18,97030.8
272,90.0,3,2.0,172000,1617.18,145546.2
273,60.0,3,1.0,82260,1308.89,78533.40000000001
274,65.0,2,1.0,109000,1796.68,116784.2
275,115.0,4,1.0,133000,1796.68,206618.2
276,83.0,3,2.0,111000,1308.89,108637.87
277,55.0,2,1.0,110000,1617.18,88944.90000000001
278,80.0,2,2.0,179990,2197.8,175824.0
279,68.0,3,1.0,156000,1617.18,109968.24
280,89.0,2,2.0,228000,1617.18,143929.02000000002
281,61.0,3,1.0,89000,1308.89,79842.29000000001
282,67.0,3,1.0,119000,1796.68,120377.56
283,68.0,3,1.0,94000,1308.89,89004.52
284,92.0,3,2.0,175000,1796.68,165294.56
285,70.0,3,1.0,90000,1308.89,91622.3
286,63.0,3,1.0,167000,1827.79,115150.77
287,57.0,3,1.0,96000,1796.68,102410.76
288,63.0,3,1.0,84000,1617.18,101882.34
289,52.0,2,1.0,101000,1796.68,93427.36
290,75.0,3,1.0,131400,1827.79,137084.25
291,80.0,3,1.0,95000,1617.18,129374.4
292,66.0,3,1.0,93000,1617.18,106733.88
293,95.0,2,2.0,154500,1617.18,153632.1
294,42.0,4,1.0,95900,1308.89,54973.380000000005
295,85.0,3,1.0,154900,1827.79,155362.15
296,80.0,2,1.0,115000,1796.68,143734.4
297,55.0,2,1.0,96000,1827.79,100528.45
298,60.0,0,1.0,85000,1617.18,97030.8
299,60.0,2,1.0,95000,1308.89,78533.40000000001
300,55.0,3,1.0,78000,1308.89,71988.95000000001
301,93.0,3,1.0,128500,2197.8,204395.4
302,55.0,2,1.0,95000,1827.79,100528.45
303,82.0,3,1.0,83900,1308.89,107328.98
304,53.0,2,1.0,96000,1827.79,96872.87
305,69.0,2,1.0,118600,1617.18,111585.42
306,58.0,2,1.0,118000,1827.79,106011.82
307,70.0,2,1.0,202000,1827.79,127945.3
308,47.0,1,1.0,144000,1827.79,85906.13
309,64.0,2,1.0,98968,1827.79,116978.56
310,50.0,2,1.0,105000,1827.79,91389.5
311,103.0,3,2.0,265000,2197.8,226373.4
312,90.0,3,2.0,290000,2197.8,197802.00000000003
313,66.0,2,1.0,90000,2197.8,145054.80000000002
314,70.0,2,1.0,75000,1617.18,113202.6
315,60.0,2,1.0,125000,1617.18,97030.8
316,101.0,2,2.0,255000,2197.8,221977.8
317,75.0,3,1.0,117300,1617.18,121288.5
318,55.0,2,1.0,96600,1617.18,88944.90000000001
319,77.0,3,1.0,119000,1796.68,138344.36000000002
320,56.0,3,1.0,100000,1827.79,102356.24
321,68.0,3,1.0,97000,2197.8,149450.40000000002
322,72.0,3,1.0,95000,1827.79,131600.88
323,70.0,3,1.0,135000,1617.18,113202.6
324,75.0,2,2.0,195000,1827.79,137084.25
325,120.0,3,1.0,195000,1617.18,194061.6
326,91.0,2,2.0,215000,1617.18,147163.38
327,95.0,2,1.0,122000,1617.18,153632.1
328,61.0,3,1.0,125000,1796.68,109597.48
329,73.0,2,1.0,120000,1827.79,133428.66999999998
330,66.0,3,1.0,93000,1617.18,106733.88
331,68.0,2,1.0,125000,1796.68,122174.24
332,70.0,3,1.0,104840,1617.18,113202.6
333,54.0,3,1.0,71000,1796.68,97020.72
334,56.0,3,1.0,105000,1827.79,102356.24
335,125.0,4,2.0,173000,1796.68,224585.0
336,130.0,4,2.0,168000,1308.89,170155.7
337,68.0,2,1.0,99900,1796.68,122174.24
338,85.0,3,1.0,128000,1617.18,137460.30000000002
339,75.0,3,1.0,120000,1617.18,121288.5
340,80.0,2,1.0,95000,1796.68,143734.4
341,64.0,2,1.0,110000,1308.89,83768.96
342,69.0,4,1.0,85900,1308.89,90313.41
343,70.0,3,1.0,142500,1308.89,91622.3
344,56.0,2,1.0,109000,1796.68,100614.08
345,90.0,2,1.0,140000,1617.18,145546.2
346,71.0,2,1.0,120000,1827.79,129773.09
347,76.0,3,1.0,110000,1308.89,99475.64
348,114.0,4,2.0,299000,1617.18,184358.52
349,90.0,3,2.0,180000,1617.18,145546.2
350,70.0,3,1.0,85000,1308.89,91622.3
351,80.0,3,1.0,100000,1617.18,129374.4
352,96.0,4,2.0,170000,1796.68,172481.28
353,50.0,1,1.0,125000,2197.8,109890.0
354,85.0,3,2.0,230000,1827.79,155362.15
355,90.0,3,2.0,300000,2197.8,197802.00000000003
356,60.0,3,1.0,120000,1308.89,78533.40000000001
357,60.0,3,1.0,140000,1308.89,78533.40000000001
358,105.0,3,2.0,135000,1796.68,188651.4
359,140.0,3,3.0,340000,2197.8,307692.0
360,112.0,3,2.0,230000,1617.18,181124.16
361,60.0,3,1.0,145000,1308.89,78533.40000000001
362,62.0,2,1.0,142450,1827.79,113322.98
363,240.0,4,3.0,580000,1617.18,388123.2
364,81.0,3,1.0,160000,1796.68,145531.08000000002
365,75.0,3,1.0,180000,1827.79,137084.25
366,72.0,3,1.0,130000,1617.18,116436.96
367,95.0,2,2.0,250000,2197.8,208791.00000000003
368,49.0,1,1.0,190000,1617.18,79241.82
369,90.0,3,1.0,169000,1617.18,145546.2
370,78.0,2,1.0,168000,1617.18,126140.04
371,100.0,3,1.0,210000,1617.18,161718.0
372,70.0,3,1.0,95000,1308.89,91622.3
373,52.0,2,1.0,74800,1617.18,84093.36
374,56.0,3,1.0,78000,1308.89,73297.84000000001
375,110.0,3,2.0,189000,1617.18,177889.80000000002
376,115.0,3,3.0,245000,2197.8,252747.00000000003
377,70.0,3,1.0,97000,1617.18,113202.6
378,75.0,3,1.0,155000,1308.89,98166.75
379,116.0,4,2.0,170000,1796.68,208414.88
380,48.0,2,1.0,120000,2197.8,105494.4
381,80.0,3,1.0,125000,1827.79,146223.2
382,81.0,3,1.0,139500,2197.8,178021.80000000002
383,95.0,4,2.0,198000,1796.68,170684.6
384,60.0,4,1.0,75000,1308.89,78533.40000000001
385,50.0,2,1.0,123000,1617.18,80859.0
386,50.0,1,1.0,148000,1617.18,80859.0
387,242.0,4,3.0,380000,1617.18,391357.56
388,166.0,3,1.0,300000,1827.79,303413.14
389,50.0,2,1.0,140000,1617.18,80859.0
390,94.0,4,1.0,190000,1796.68,168887.92
391,80.0,3,1.0,150000,1796.68,143734.4
392,65.0,2,1.0,110000,1827.79,118806.35
393,105.0,3,2.0,190000,1617.18,169803.9
394,100.0,3,1.0,142000,1796.68,179668.0
395,64.0,3,1.0,95000,1617.18,103499.52
396,85.0,2,2.0,229000,1827.79,155362.15
397,72.0,3,1.0,140000,1617.18,116436.96
398,92.0,3,1.0,119000,1617.18,148780.56
399,106.0,3,1.0,145000,1617.18,171421.08000000002
400,67.0,2,1.0,115000,1796.68,120377.56
401,60.0,2,1.0,150000,1617.18,97030.8
402,71.0,2,1.0,202000,1827.79,129773.09
403,48.0,1,1.0,144000,1827.79,87733.92
404,60.0,2,1.0,120000,1617.18,97030.8
405,60.0,3,1.0,105000,1308.89,78533.40000000001
406,61.0,3,1.0,108000,1796.68,109597.48
407,115.0,3,1.0,147000,1617.18,185975.7
408,55.0,2,1.0,95000,1617.18,88944.90000000001
409,65.0,3,1.0,99500,1827.79,118806.35
410,118.0,3,2.0,179000,1617.18,190827.24
411,54.0,3,1.0,91958,1827.79,98700.66
412,147.0,4,2.0,340000,2197.8,323076.60000000003
413,81.0,3,1.0,139500,1827.79,148050.99
414,108.0,4,2.0,156000,1796.68,194041.44
415,133.0,4,2.0,280000,1827.79,243096.07
416,90.0,3,2.0,139000,1308.89,117800.1
417,63.0,2,1.0,102000,1308.89,82460.07
418,95.0,2,1.0,154500,1617.18,153632.1
419,76.0,2,1.0,109492,1308.89,99475.64
420,115.0,3,1.0,148000,1617.18,185975.7
421,70.0,3,1.0,95000,1308.89,91622.3
422,71.0,3,1.0,100000,1308.89,92931.19
423,70.0,3,1.0,97000,1308.89,91622.3
424,100.0,3,2.0,179000,1827.79,182779.0
425,63.0,3,1.0,119000,1308.89,82460.07
426,60.0,2,1.0,95000,1617.18,97030.8
427,105.0,3,2.0,260000,1796.68,188651.4
428,93.0,2,2.0,210000,1617.18,150397.74000000002
429,80.0,2,2.0,250000,2197.8,175824.0
430,54.0,2,1.0,148000,1796.68,97020.72
431,64.0,2,1.0,99000,1617.18,103499.52
432,75.0,3,1.0,120000,1617.18,121288.5
433,100.0,3,2.0,299995,1827.79,182779.0
434,62.0,2,2.0,148000,1617.18,100265.16
435,78.0,3,1.0,127000,1617.18,126140.04
436,83.0,3,1.0,155000,1617.18,134225.94
437,68.0,3,1.0,97000,2197.8,149450.40000000002
438,76.0,3,1.0,108000,1796.68,136547.68
439,66.0,2,1.0,95000,1308.89,86386.74
440,65.0,3,1.0,110000,1617.18,105116.7
441,65.0,2,1.0,125000,1796.68,116784.2
442,70.0,2,2.0,196000,1827.79,127945.3
443,49.0,2,1.0,120000,1617.18,79241.82
444,100.0,3,2.0,210000,1827.79,182779.0
445,90.0,4,2.0,230000,1827.79,164501.1
446,65.0,3,1.0,107583,1617.18,105116.7
447,68.0,2,1.0,120000,1308.89,89004.52
448,90.0,3,1.0,140000,1617.18,145546.2
449,55.0,2,1.0,135000,1796.68,98817.4
450,70.0,2,1.0,126000,1617.18,113202.6
451,123.0,4,2.0,220000,1617.18,198913.14
452,74.0,2,2.0,198000,1827.79,135256.46
453,64.0,2,1.0,150000,1796.68,114987.52
454,80.0,3,2.0,160000,1617.18,129374.4
455,113.0,3,2.0,359900,1827.79,206540.27
456,89.0,3,2.0,174000,1617.18,143929.02000000002
457,109.0,3,1.0,185000,1617.18,176272.62
458,101.0,2,2.0,245000,1617.18,163335.18
459,75.0,2,1.0,146000,1617.18,121288.5
460,52.0,2,1.0,85000,1827.79,95045.08
461,75.0,3,1.0,139900,1827.79,137084.25
462,75.0,3,1.0,113000,1796.68,134751.0
463,30.0,1,1.0,72000,1617.18,48515.4
464,54.0,3,1.0,91957,1827.79,98700.66
465,65.0,3,1.0,109900,1617.18,105116.7
466,65.0,2,1.0,105000,1617.18,105116.7
467,60.0,2,1.0,70000,1308.89,78533.40000000001
468,69.0,2,1.0,132000,1617.18,111585.42
469,65.0,3,1.0,120000,1308.89,85077.85
470,90.0,3,1.0,159000,1617.18,145546.2
471,100.0,3,2.0,230000,1617.18,161718.0
472,62.0,2,1.0,93000,1308.89,81151.18000000001
473,83.0,3,2.0,99900,1308.89,108637.87
474,60.0,2,1.0,138000,1617.18,97030.8
475,83.0,3,1.0,116675,1827.79,151706.57
476,76.0,2,1.0,109491,1308.89,99475.64
477,95.0,4,1.0,138000,1827.79,173640.05
478,88.0,2,2.0,304000,1617.18,142311.84
479,67.0,3,1.0,150000,1617.18,108351.06
480,90.0,3,1.0,208000,1796.68,161701.2
481,75.0,3,1.0,114900,1617.18,121288.5
482,89.0,3,1.0,139000,1827.79,162673.31
483,66.0,2,1.0,116600,1796.68,118580.88
484,94.0,3,1.0,207000,1617.18,152014.92
485,85.0,2,2.0,180000,2197.8,186813.00000000003
486,68.0,2,1.0,207000,2197.8,149450.40000000002
487,105.0,3,2.0,182260,1827.79,191917.95
488,85.0,3,1.0,159000,1827.79,155362.15
489,88.0,3,1.0,116000,1617.18,142311.84
490,160.0,2,1.0,260000,1617.18,258748.8
491,60.0,2,1.0,99000,1617.18,97030.8
492,88.0,3,1.0,132260,1617.18,142311.84
493,53.0,1,1.0,144000,1827.79,96872.87
494,89.0,3,2.0,235000,2197.8,195604.2
495,119.0,3,2.0,269000,2197.8,261538.2
496,65.0,3,1.0,97000,1617.18,105116.7
497,120.0,4,2.0,173000,1308.89,157066.80000000002
498,85.0,3,1.0,140200,2197.8,186813.00000000003
499,110.0,2,2.0,225000,2197.8,241758.00000000003
500,116.0,3,2.0,295000,1827.79,212023.64
501,80.0,3,1.0,135000,1617.18,129374.4
502,115.0,3,2.0,275000,2197.8,252747.00000000003
503,114.0,4,2.0,257000,1617.18,184358.52
504,95.0,4,1.0,175000,1796.68,170684.6
505,110.0,3,2.0,274999,2197.8,241758.00000000003
506,70.0,2,1.0,146750,1617.18,113202.6
507,86.0,2,2.0,218000,2197.8,189010.8
508,100.0,3,2.0,285000,1827.79,182779.0
509,274.0,8,3.0,495000,1827.79,500814.46
510,124.0,3,2.0,260000,1617.18,200530.32
511,60.0,3,1.0,84900,1617.18,97030.8
512,62.0,3,1.0,108000,1308.89,81151.18000000001
513,118.0,3,2.0,224000,1827.79,215679.22
514,92.0,2,2.0,154500,1617.18,148780.56
515,78.0,3,1.0,116050,1617.18,126140.04
516,70.0,3,1.0,129990,1827.79,127945.3
517,77.0,3,1.0,122000,1617.18,124522.86
518,89.0,2,2.0,144801,1827.79,162673.31
519,92.0,3,1.0,147000,1827.79,168156.68
520,85.0,0,2.0,78000,1617.18,137460.30000000002
521,80.0,3,1.0,99000,1617.18,129374.4
522,98.0,3,2.0,219000,2197.8,215384.4
523,64.0,2,1.0,149999,1617.18,103499.52
524,54.0,2,1.0,96600,1617.18,87327.72
525,62.0,2,1.0,111113,1796.68,111394.16
526,103.0,3,1.0,159000,1617.18,166569.54
527,78.0,2,1.0,146800,1796.68,140141.04
528,72.0,2,1.0,139000,1796.68,129360.96
529,60.0,3,1.0,66000,1308.89,78533.40000000001
530,59.0,2,2.0,99000,1617.18,95413.62
531,90.0,3,1.0,190000,1617.18,145546.2
532,61.0,2,1.0,93000,1617.18,98647.98
533,73.0,3,1.0,79900,1308.89,95548.97
534,97.0,4,1.0,149000,1796.68,174277.96
535,76.0,3,1.0,140000,2197.8,167032.80000000002
536,108.0,3,1.0,143900,1617.18,174655.44
537,187.0,3,2.0,295000,2197.8,410988.6
538,62.0,2,1.0,107000,1617.18,100265.16
539,25.0,0,1.0,135000,1827.79,45694.75
540,89.0,2,2.0,250000,2197.8,195604.2
541,68.0,2,1.0,164000,1827.79,124289.72
542,65.0,3,1.0,108000,1308.89,85077.85
543,70.0,3,1.0,119000,1796.68,125767.6
