,sq_mt_built,n_rooms,n_bathrooms,floor,is_floor_under,buy_price,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,has_parking,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,Pisos,Casa o chalet,Áticos,Dúplex,distrito_id_num,neighborhood_id_num,neighborhood_price_m2,estimado_metros_por_preciom2
22,76.0,3,1.0,2.0,0,110000,1,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,122905.68000000001
23,51.0,2,1.0,0.0,1,93000,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,82476.18000000001
24,134.0,3,2.0,2.0,0,130000,0,0,1970.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,216702.12
25,62.0,2,1.0,2.0,0,104000,0,0,1970.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,100265.16
26,75.0,3,1.0,3.0,0,138000,0,0,1984.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0.0,0,0,0,1,1,0,0,0,21.0,134.0,1617.18,121288.5
27,112.0,4,2.0,2.0,0,280000,0,0,1970.0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0.0,0,1,1,1,1,0,0,0,21.0,131.0,2197.8,246153.60000000003
28,65.0,3,1.0,1.0,0,150000,1,0,1976.0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,118806.34999999999
29,70.0,2,1.0,3.0,0,145900,0,0,1968.0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,113202.6
30,75.0,1,1.0,1.0,0,92500,0,0,2008.0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0.0,1,1,1,1,1,0,0,0,21.0,134.0,1617.18,121288.5
31,123.0,3,2.0,7.0,0,298000,0,0,2002.0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,224818.16999999998
32,61.0,3,1.0,2.0,0,99900,0,0,1970.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,98647.98000000001
33,72.0,2,1.0,3.0,0,138000,0,0,1970.0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,116436.96
34,61.0,3,1.0,5.0,0,100000,0,0,1966.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,1,0,1,0,1,0,0,0,21.0,131.0,2197.8,134065.80000000002
35,71.0,3,1.0,1.0,0,131400,1,0,1980.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,114819.78
36,87.0,3,1.0,2.0,0,96000,1,0,1970.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,159017.73
37,60.0,2,1.0,1.0,0,154000,0,0,1970.0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,97030.8
38,78.0,4,1.0,2.0,0,146700,0,0,1970.0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0.0,0,0,1,0,1,0,0,0,21.0,132.0,1796.68,140141.04
39,52.0,1,1.0,1.0,0,92500,0,0,1970.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,95045.08
40,125.0,3,3.0,7.0,0,275000,0,0,2004.0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0.0,0,0,0,0,0,0,0,1,21.0,131.0,2197.8,274725.0
41,75.0,0,1.0,1.0,0,83800,0,0,2008.0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0.0,1,1,1,1,1,0,0,0,21.0,134.0,1617.18,121288.5
42,97.0,2,2.0,0.5,1,266122,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,213186.6
43,93.0,2,2.0,7.0,0,228273,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,204395.40000000002
44,103.0,4,2.0,1.0,0,171900,0,0,1970.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,185058.04
45,83.0,2,2.0,7.0,0,228273,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,0,0,0,0,1,0,21.0,131.0,2197.8,182417.40000000002
46,45.0,2,1.0,1.0,0,85000,1,0,1968.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,82250.55
47,120.0,3,2.0,7.0,0,298000,0,0,1970.0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,219334.8
48,74.0,3,1.0,1.0,0,139000,0,0,1970.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,132.0,1796.68,132954.32
49,125.0,3,2.0,7.0,0,272500,0,0,2004.0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0.0,0,0,0,0,0,0,0,1,21.0,131.0,2197.8,274725.0
50,126.0,4,2.0,0.5,1,275000,0,0,1970.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,1,1,1,0,0,0,21.0,131.0,2197.8,276922.80000000005
51,158.0,3,2.0,4.0,0,289000,0,0,2003.0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0.0,0,0,0,0,0,0,1,0,21.0,131.0,2197.8,347252.4
52,65.0,2,1.0,1.0,0,115000,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,118806.34999999999
53,108.0,3,2.0,4.0,0,179000,0,0,1978.0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,194041.44
54,62.0,2,1.0,0.5,1,123000,0,0,1984.0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,0,0,21.0,134.0,1617.18,100265.16
55,51.0,2,1.0,3.0,0,89500,1,0,1967.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,21.0,133.0,1827.79,93217.29
56,112.0,3,2.0,3.0,0,289000,0,0,2013.0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0.0,0,0,1,0,1,0,0,0,21.0,131.0,2197.8,246153.60000000003
57,109.0,3,2.0,2.0,0,216278,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,239560.2
58,107.0,3,2.0,1.0,0,207503,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,235164.6
59,76.0,2,2.0,3.0,0,162793,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,167032.80000000002
60,105.0,3,2.0,1.0,0,204999,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,230769.00000000003
61,109.0,3,2.0,4.0,0,220879,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,239560.2
62,108.0,3,2.0,4.0,0,218258,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,237362.40000000002
63,109.0,3,2.0,0.5,1,231855,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,239560.2
64,76.0,2,2.0,4.0,0,163397,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,167032.80000000002
65,76.0,2,2.0,2.0,0,160759,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,167032.80000000002
66,108.0,3,2.0,3.0,0,217169,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,237362.40000000002
67,76.0,2,2.0,5.0,0,165208,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,167032.80000000002
68,109.0,3,2.0,3.0,0,219775,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,239560.2
69,108.0,3,2.0,0.5,1,230817,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,237362.40000000002
70,108.0,3,2.0,2.0,0,213722,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,237362.40000000002
71,111.0,2,2.0,6.0,0,230749,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,0,0,1,0,21.0,131.0,2197.8,243955.80000000002
72,115.0,3,2.0,2.0,0,233789,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,252747.00000000003
73,115.0,3,2.0,1.0,0,230789,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,252747.00000000003
74,117.0,3,2.0,1.0,0,244171,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,257142.60000000003
75,117.0,3,2.0,1.0,0,243468,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,257142.60000000003
76,117.0,3,2.0,1.0,0,244798,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,257142.60000000003
77,118.0,3,2.0,1.0,0,219235,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,259340.40000000002
78,115.0,3,2.0,5.0,0,242789,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,252747.00000000003
79,97.0,4,1.0,3.0,0,130000,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,156866.46
80,106.0,3,2.0,3.0,0,251569,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,232966.80000000002
81,103.0,3,2.0,3.0,0,235402,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,226373.40000000002
82,103.0,3,2.0,1.0,0,235172,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,226373.40000000002
83,103.0,3,2.0,5.0,0,236227,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,226373.40000000002
84,114.0,3,2.0,2.0,0,254710,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,250549.2
85,150.0,2,1.0,1.0,0,159000,1,0,1993.0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0.0,0,0,0,0,0,1,0,0,21.0,134.0,1617.18,242577.0
86,140.0,3,3.0,7.0,0,272500,0,0,2004.0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0.0,0,0,1,0,0,0,0,1,21.0,131.0,2197.8,307692.0
87,58.0,3,1.0,2.0,0,85000,0,0,1951.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,106011.81999999999
88,65.0,3,1.0,1.0,0,94000,0,0,1970.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,21.0,135.0,1308.89,85077.85
89,110.0,4,2.0,1.0,0,175000,0,0,1978.0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,201056.9
90,173.0,4,2.0,2.0,0,268000,0,0,2003.0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0.0,1,0,1,0,1,0,0,0,21.0,131.0,2197.8,380219.4
91,75.0,2,1.0,3.0,0,156000,0,0,1970.0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,21.0,134.0,1617.18,121288.5
92,90.0,1,1.0,7.0,0,183159,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,0,0,1,0,21.0,131.0,2197.8,197802.00000000003
93,125.0,3,2.0,1.0,0,210000,0,0,1996.0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,228473.75
94,58.0,2,1.0,0.5,1,85000,0,0,1968.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,93796.44
95,92.0,3,1.0,6.0,0,159900,0,0,1962.0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,165294.56
96,70.0,2,1.0,3.0,0,117000,0,0,1975.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,21.0,134.0,1617.18,113202.6
97,54.0,2,1.0,2.0,0,110000,0,0,1960.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,134.0,1617.18,87327.72
98,52.0,2,1.0,1.0,0,100000,0,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,95045.08
99,108.0,3,1.0,2.0,0,140000,0,0,1995.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,1,0,1,1,0,0,0,21.0,134.0,1617.18,174655.44
100,65.0,2,1.0,3.0,0,106500,0,0,1963.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,0,1,0,0,0,21.0,133.0,1827.79,118806.34999999999
101,102.0,3,2.0,3.0,0,127500,0,0,1964.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,1,0,0,1,0,0,0,21.0,133.0,1827.79,186434.58
102,80.0,2,1.0,3.0,0,148000,0,0,1999.0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0.0,0,0,0,1,1,0,0,0,21.0,134.0,1617.18,129374.40000000001
103,108.0,2,1.0,4.0,0,205000,0,0,2002.0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,1,0,0,0,1,21.0,131.0,2197.8,237362.40000000002
104,80.0,3,2.0,4.0,0,220000,0,0,2000.0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0.0,0,0,1,1,1,0,0,0,21.0,133.0,1827.79,146223.2
105,16.0,3,1.0,1.0,0,114000,0,0,1970.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,1,1,1,0,0,0,21.0,133.0,1827.79,29244.64
106,54.0,2,1.0,3.0,0,89900,0,0,1964.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,1,1,1,0,0,0,21.0,134.0,1617.18,87327.72
107,70.0,2,2.0,4.0,0,210000,0,0,2003.0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0.0,0,1,1,0,1,0,0,0,21.0,133.0,1827.79,127945.3
108,99.0,2,2.0,0.5,1,145000,0,0,2007.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,0,0,21.0,134.0,1617.18,160100.82
109,123.0,4,2.0,3.0,0,275000,0,0,1970.0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,224818.16999999998
110,64.0,3,1.0,5.0,0,104000,0,0,1970.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,114987.52
111,107.0,3,2.0,6.0,0,228629,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,235164.6
112,76.0,2,2.0,6.0,0,169021,0,1,1970.0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,167032.80000000002
113,109.0,3,2.0,5.0,0,223022,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,239560.2
114,108.0,3,2.0,5.0,0,220072,0,1,1970.0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,237362.40000000002
115,103.0,3,2.0,6.0,0,235718,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,226373.40000000002
116,103.0,3,2.0,1.0,0,245000,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,226373.40000000002
117,143.0,3,2.0,0.5,1,260000,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,314285.4
118,99.0,3,2.0,6.0,0,235000,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,217582.2
119,100.0,3,2.0,3.0,0,235000,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,219780.00000000003
120,176.0,2,2.0,6.0,0,265000,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,386812.80000000005
121,87.0,2,2.0,2.0,0,190000,0,1,1970.0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,191208.6
122,106.0,3,2.0,4.0,0,256115,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,232966.80000000002
123,113.0,3,2.0,0.5,1,261989,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,248351.40000000002
124,115.0,3,2.0,1.0,0,273353,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,252747.00000000003
125,129.0,3,2.0,7.0,0,297621,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,283516.2
126,115.0,3,2.0,6.0,0,279778,0,1,1970.0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,252747.00000000003
127,110.0,2,2.0,0.5,1,135000,1,0,1970.0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,134.0,1617.18,177889.80000000002
128,90.0,3,2.0,2.0,0,195000,0,0,1985.0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,161701.2
129,60.0,2,1.0,1.0,0,126900,1,0,1970.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,133.0,1827.79,109667.4
130,54.0,2,1.0,1.0,0,136400,0,0,1970.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,21.0,132.0,1796.68,97020.72
131,80.0,3,1.0,0.5,1,145000,0,0,1970.0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,21.0,134.0,1617.18,129374.40000000001
132,73.0,2,1.0,1.0,0,127500,0,0,1999.0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0.0,0,1,0,1,1,0,0,0,21.0,134.0,1617.18,118054.14
133,122.0,3,2.0,0.5,1,179000,0,0,1999.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0.0,0,1,1,0,1,0,0,0,21.0,134.0,1617.18,197295.96000000002
134,98.0,3,2.0,0.5,1,266122,0,0,2020.0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0.0,0,1,0,0,1,0,0,0,21.0,131.0,2197.8,215384.40000000002
135,97.0,3,2.0,0.5,1,261989,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,0,0,1,0,0,0,21.0,131.0,2197.8,213186.6
136,111.0,3,2.0,7.0,0,297621,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,0,0,0,0,0,1,0,21.0,131.0,2197.8,243955.80000000002
137,99.0,3,2.0,3.0,0,251569,0,0,2020.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0.0,0,1,0,0,1,0,0,0,21.0,131.0,2197.8,217582.2
